Species,Number
oscillochloris spp.,1
burkholderia bryophila,0
asanoa spp.,0
sporosarcina globispora,0
pseudofulvimonas spp.,0
mesorhizobium ciceri,1
leeia oryzae,0
terrisporobacter clostridium glycolicum,0
azospirillum lipoferum,1
metyhlovirgula spp.,0
bradyrhizobium elkanii,0
acinetobacter genomosp. 13,0
paenibacillus glycanilyticus,0
curtobacterium spp.,0
rhodopseudomonas spp.,0
aeromonas popoffii,0
roseomonas terrae,0
chromobacterium haemolyticum,0
flavobacterium dokdonense,0
propionicimonas paludicola,0
herbaspirillum spp.,0
ktedonobacter spp.,0
cetobacterium somerae,0
novosphingobium indicum,0
hyphomonas neptunium,0
marisediminicola spp.,0
methylobacterium zatmanii,0
phormidesmis phormidium pristleyi,0
patulibacter minatonensis,0
pseudomonas graminis,0
paucibacter spp.,0
curvibacter spp.,0
rhodobacter sphaeroides,0
candidatus_glomeribacter spp.,0
actinoplanes italicus,0
actinoplanes regularis,0
acidisphaera spp.,0
lactobacillus crispatus,0
aetherobacter rufus,0
sanguibacter spp.,0
cystobacter miniatus,0
allisonella spp.,0
pelomonas spp.,0
blastococcus aggregatus,0
neorhizobium rhizobium huautlense,0
streptomyces bungoensis,0
thauera spp.,0
herpetosiphon aurantiacus,0
alkaliphilus oremlandii,0
chlamydia suis,0
alcanivorax venustensis,0
verrucosispora gifhornensis,0
neorickettsia spp.,0
acetobacter cerevisiae,1
pseudonocardia sulfidoxydans,0
escherichia coli,0
aeromicrobium ginsengisoli,0
pseudomonas oryzihabitans,0
pantoea erwinia cypripedii,0
parabacteroides spp.,0
pseudonocardia halophobica,0
sphingobium herbicidovorans,0
nocardioides aquiterrae,0
caulobacter fusiformis,0
streptomyces chartreusis,0
cryocola spp.,0
deinococcus spp.,1
actinomyces odontolyticus,0
pseudanabaena sp.,0
methylobacterium chloromethanicum,0
flexibacter flexilis,0
pseudonocardia xinjiangensis,0
wautersiella falsenii,0
curvibacter aquamonas fontana,0
cloacibacterium spp.,0
rhizobacter spp.,0
aeromicrobium panaciterrae,0
methylopila capsulata,0
capnocytophaga leadbetteri,0
finegoldia magna,0
flavobacterium aquatile,0
tetrasphaera spp.,0
nocardioides terrae,0
flavobacterium xanthum,0
psychrobacillus bacillus psychrodurans,1
pseudonocardia endophyticus,0
ferruginibacter metagenome sequence,0
bacillus longiquaesitum,0
rubellimicrobium roseum,0
spiroplasma platyhelix,0
paenibacillus amylolyticus,0
paludimonas spp.,0
oxalicibacterium faecigallinarum,0
leifsonia spp.,1
sphaerotilus natans,0
roseomonas cervicalis,0
lactuca sativa,0
chara corallina,0
microbacterium spp.,0
pyramimonas parkeae,0
dactylosporangium spp.,0
geothrix spp.,0
alistipes finegoldii,0
microbacterium hydrocarbonoxydans,0
bacteroides ovatus,0
paenibacillus agaridevorans,0
microlunatus ginsengisoli,0
aquimonas metagenome sequence,0
treponema spp.,0
thermoactinomyces vulgaris,0
flavobacterium psychrophilum,0
methylobacillus spp.,0
agrobacterium rhizobium rhizogenes,0
streptomyces avicenniae,0
sphingomonas mali,0
mycobacterium petroleophilum,0
escherichia hermannii,0
methylobacterium extorquens,0
actinoplanes ferrugineus,0
nocardioides sp.,0
peptoclostridium clostridium ghonii,0
klebsiella granulomatis,0
roseomonas lacus,0
bacillus arbutinivorans,0
arcicella spp.,0
lactococcus lactis,0
lamprocystis purpurea,0
microcystis wesenbergii,0
sphingomonas changbaiensis,0
cytophaga hutchinsonii,0
mitsuaria chitosanitabida,0
sphingomonas phyllosphaerae,0
fucus vesiculosus,0
methylocaldum szegediense,0
pseudoclavibacter spp.,1
leuconostoc pseudomesenteroides,0
curtobacterium flaccumfaciens,0
microvirga spp.,0
nocardioides oleivorans,0
luteolibacter spp.,0
lacibacter spp.,0
methylobacter spp.,0
sphingomonas azotifigens,0
candidatus_aquiluna marine metagenome,0
aureimonas aurantimonas altamirensis,0
aeromonas veronii,0
neisseria meningitidis,0
emticicia spp.,0
rummeliibacillus spp.,0
vogesella spp.,1
bacillus senegalensis,0
clostridium subterminale,1
rickettsia canadensis,0
roseomonas vinaceus,0
pedobacter kwangyangensis,0
luedemannella flava,0
caulobacter henricii,0
pelobacter seleniigenes,0
peptoclostridium clostridium sordellii,1
pseudorhodoferax soli,0
aquaspirillum serpens,0
undibacterium spp.,0
mycobacterium gadium,0
phenylobacterium immobile,0
chitinibacter tainanensis,0
ralstonia spp.,0
mycobacterium monacense,0
bacteroides massiliensis,0
hyphomicrobium zavarzinii,0
nitrosovibrio tenuis,0
pseudonocardia antarctica,0
beijerinckia indica,0
actinocorallia glomerata,0
roseomonas ruber,2
stenotrophomonas rhizophila,1
sporosarcina aquimarina,0
rickettsia tarasevichiae,0
stenotrophomonas spp.,0
rhodoferax fermentans,0
rickettsia limoniae,0
methylobacillus flagellatus,0
klugiella xanthotipulae,0
rhizobium oryzae,0
adhaeribacter terreus,0
pedobacter cryoconitis,0
rhodovarius spp.,0
corallococcus myxococcus macrosporus,0
thermosporothrix spp.,0
turicibacter spp.,0
larkinella spp.,0
pseudomonas stutzeri,0
erysipelatoclostridium clostridium spiroforme,0
rhodovastum atsumiense,0
hymenobacter rigui,0
chlorochromatium spp.,1
flectobacillus spp.,0
candidatus_magnetobacterium spp.,0
epilithonimonas lactis,0
alkanindiges spp.,1
micrococcus luteus,1
salegentibacter mishustinae,0
dolichospermum crassum,0
desulfovibrio ecwsrb050,0
oceanimonas spp.,1
brassicibacter bacterium bm,0
spirogyra maxima,0
tepidimonas spp.,0
leptospira alexanderi,0
mechercharimyces mesophilus,0
clostridium scatologenes,0
flavobacterium psychrolimnae,0
aureispira maritima,0
halobacillus trueperi,0
streptomyces sulfonofaciens,0
pseudorhodobacter spp.,1
polaribacter irgensii,0
rhodocista pekingensis,0
granulicatella elegans,0
geobacter argillaceus,1
mesotaenium caldariorum,2
anaerofustis spp.,1
marinobacter maritimus,2
catellatospora sp.,0
streptomyces stramineus,1
candidatus microthrix calida,0
desulfobacter postgatei,0
algoriphagus marincola,0
pseudobutyrivibrio fibrisolvens,0
staphylococcus epidermidis,0
aneurinibacillus thermoaerophilus,0
desulfovibrio senezii,0
nereida spp.,0
parasegetibacter spp.,0
methylocaldum tepidum,0
oleispira spp.,0
tistlia spp.,0
thioalkalivibrio thiocyanodenitrificans,3
desulfuromusa ferrireducens,0
lachnoclostridium clostridium saccharolyticum,0
pirellula sp.,0
erwinia tasmaniensis,0
geothermobacterium ferrireducens,1
ornithobacterium spp.,0
roseospirillum spp.,0
roseburia spp.,0
sphingobium spp.,0
pseudomonas mandelii,0
desulfovibrio desulfuricans,0
planctomyces sp.,0
croceitalea eckloniae,0
legionella anisa,0
orenia marismortui,1
rickettsia rickettsii,0
marivirga spp.,1
azospirillum spp.,0
ferrimonas sedimenticola,0
marinobacter lipolyticus,2
desulfonatronum spp.,0
jahnella thaxteri,0
cupriavidus necator,0
roseomonas aquatica,1
paucimonas lemoignei,1
legionella pneumophila,0
roseomonas mucosa,0
azospirillum brasilense,0
marinilactibacillus psychrotolerans,0
candidatus_xenohaliotis spp.,0
belliella baltica,0
gloeotrichia echinulata,0
quadrisphaera granulorum,2
fibrella spp.,0
legionella yabuuchiae,0
alcanivorax borkumensis,0
streptococcus spp.,0
pseudomonas synxantha,0
borrelia spp.,0
