Species,Unique,Number
oscillochloris spp.,1,1
burkholderia bryophila,2,0
asanoa spp.,3,0
sporosarcina globispora,4,0
pseudofulvimonas spp.,5,0
mesorhizobium ciceri,6,1
leeia oryzae,7,0
terrisporobacter clostridium glycolicum,8,0
azospirillum lipoferum,9,1
metyhlovirgula spp.,10,0
bradyrhizobium elkanii,11,0
acinetobacter genomosp. 13,12,0
paenibacillus glycanilyticus,13,0
curtobacterium spp.,14,0
rhodopseudomonas spp.,15,0
aeromonas popoffii,16,0
roseomonas terrae,17,0
chromobacterium haemolyticum,18,0
flavobacterium dokdonense,19,0
propionicimonas paludicola,20,0
herbaspirillum spp.,21,0
ktedonobacter spp.,22,0
cetobacterium somerae,23,0
novosphingobium indicum,24,0
hyphomonas neptunium,25,0
marisediminicola spp.,26,0
methylobacterium zatmanii,27,0
phormidesmis phormidium pristleyi,28,0
patulibacter minatonensis,29,0
pseudomonas graminis,30,0
paucibacter spp.,31,0
curvibacter spp.,32,0
rhodobacter sphaeroides,33,0
candidatus_glomeribacter spp.,34,0
actinoplanes italicus,35,0
actinoplanes regularis,36,0
acidisphaera spp.,37,0
lactobacillus crispatus,38,0
aetherobacter rufus,39,0
sanguibacter spp.,40,0
cystobacter miniatus,41,0
allisonella spp.,42,0
pelomonas spp.,43,0
blastococcus aggregatus,44,0
neorhizobium rhizobium huautlense,45,0
streptomyces bungoensis,46,0
thauera spp.,47,0
herpetosiphon aurantiacus,48,0
alkaliphilus oremlandii,49,0
chlamydia suis,50,0
alcanivorax venustensis,51,0
verrucosispora gifhornensis,52,0
neorickettsia spp.,53,0
acetobacter cerevisiae,54,1
pseudonocardia sulfidoxydans,55,0
escherichia coli,56,0
aeromicrobium ginsengisoli,57,0
pseudomonas oryzihabitans,58,0
pantoea erwinia cypripedii,59,0
parabacteroides spp.,60,0
pseudonocardia halophobica,61,0
sphingobium herbicidovorans,62,0
nocardioides aquiterrae,63,0
caulobacter fusiformis,64,0
streptomyces chartreusis,65,0
cryocola spp.,66,0
deinococcus spp.,67,1
actinomyces odontolyticus,68,0
pseudanabaena sp.,69,0
methylobacterium chloromethanicum,70,0
flexibacter flexilis,71,0
