label,count
desulfuromonas spp.,440
sufflavibacter spp.,449
gn04 (candidate division)  gn04 (candidate division),459
et_sho methylococcaceae bacterium,474
leucothrix spp.,484
acidovorax spp.,494
desulfocapsa spp.,599
granulosicoccus spp.,607
ws3 (candidate division)  ws3 (candidate division),613
desulfococcus spp.,622
defluviicoccus spp.,628
robiginitalea spp.,676
ignavibacterium spp.,678
desulfopila spp.,701
ksb1 (candidate division)  ksb1 (candidate division),733
balneatrix spp.,761
owenweeksia spp.,765
acidithiobacillus spp.,772
rhodopirellula spp.,781
arcobacter spp.,827
desulfobulbus spp.,920
longilinea spp.,950
candidatus_thiobios spp.,1039
spirochaeta spp.,1161
haliea spp.,1215
nannocystineae spp.,1609
desulfosarcina spp.,1762
sulfurimonas spp.,2163
