\\Bb1,bb2,bb3,bb4,bb5,h1,h2,h3,h4,h5,p1,p2,p3,p4,p5]
7,4,1,6,2,3,2,9,10,4,26,8,7,2,9]
6,3,2,1,6,2,6,1,21,9,11,7,8,4,13]
7,12,20,8,7,0,8,10,0,0,4,11,2,0,11]
14,18,14,19,4,1,2,4,0,3,2,3,6,8,3]
1,11,11,32,17,1,0,18,1,2,0,0,3,2,3]
5,1,1,1,1,37,16,1,0,25,2,0,2,7,3]
3,4,4,0,1,1,8,0,17,0,2,0,0,58,4]
11,6,13,3,2,24,6,4,0,20,3,1,4,4,2]
19,0,1,0,0,0,0,0,0,4,1,15,12,32,19]
0,9,0,5,49,0,0,38,2,0,0,0,0,0,0]
11,5,25,12,4,0,0,4,2,0,30,5,7,0,0]
25,0,47,0,4,0,0,0,0,1,7,4,15,0,2]
1,28,1,16,9,0,0,38,4,0,1,2,0,1,4]
6,0,1,2,0,0,0,3,19,0,20,10,38,1,6]
7,3,51,7,5,0,0,20,3,0,2,2,2,3,1]
17,1,13,0,2,1,1,2,0,0,57,3,1,4,4]
15,15,20,9,4,1,1,10,5,1,3,7,11,1,3]
20,3,43,1,0,0,1,0,0,0,16,8,3,6,5]
9,6,5,10,1,9,8,10,9,5,11,12,5,6,1]
8,14,8,15,8,1,2,27,2,0,3,8,6,0,5]
0,15,1,71,13,0,1,4,1,0,0,0,0,0,1]
5,1,1,15,0,2,1,8,0,2,4,2,3,62,1]
1,9,11,19,11,0,0,7,8,1,19,8,7,0,7]
13,14,21,12,14,0,0,5,0,0,8,8,10,1,2]
0,1,1,26,2,4,2,1,0,71,0,0,1,0,0]
31,1,16,3,1,0,1,1,11,1,1,13,10,2,17]
3,7,1,0,3,0,21,1,61,5,5,1,0,1,0]
3,12,3,13,17,0,3,19,0,2,1,2,2,29,3]
13,7,4,4,14,0,1,20,22,0,6,5,15,0,0]
6,1,49,1,4,1,1,0,0,4,13,8,17,1,5]
9,38,15,15,9,0,2,3,0,7,1,0,1,8,4]
3,1,12,2,0,1,1,0,16,1,58,2,11,2,2]
26,1,9,0,0,0,4,2,0,32,2,11,2,11,12]
23,1,0,0,0,0,0,0,0,15,2,13,11,30,18]
23,0,27,1,1,2,17,0,10,3,0,24,1,4,1]
9,7,8,13,9,0,0,11,13,1,6,12,8,5,12]
5,22,1,29,4,1,1,45,0,5,0,0,1,0,1]
4,11,9,32,11,4,0,11,4,3,4,4,8,3,7]
0,1,2,3,0,54,21,0,2,32,1,0,0,0,0]
6,7,11,6,12,2,3,9,21,5,12,9,6,4,3]
2,2,2,1,8,0,0,94,2,0,4,0,1,1,0]
2,15,0,28,14,2,1,36,3,3,4,5,4,0,2]
1,0,4,0,0,3,0,10,6,0,10,6,6,61,12]
0,4,0,0,11,0,0,96,4,2,0,2,2,0,0]
13,4,15,0,7,6,1,5,0,1,22,8,8,22,9]
17,6,24,5,3,1,0,19,11,0,12,5,7,4,8]
27,9,5,2,11,1,0,22,1,0,9,6,20,2,7]
3,9,3,19,6,0,1,30,0,1,48,1,0,0,1]
0,0,120,0,0,1,0,0,0,0,0,0,2,0,0]
13,12,34,6,5,2,3,3,14,7,4,3,12,1,6]
20,2,25,4,10,0,1,8,14,0,2,13,15,4,8]
3,2,8,3,1,5,3,5,10,3,65,10,7,2,0]
2,3,4,8,4,0,11,18,34,0,1,1,3,33,5]
41,0,64,0,0,0,1,0,0,0,5,6,6,1,5]
18,9,19,13,1,0,1,6,1,1,0,15,14,10,21]
1,3,0,0,116,1,1,3,0,1,1,0,1,1,0]
17,7,0,3,2,28,10,2,15,8,1,18,6,10,2]
1,12,20,25,6,5,17,13,9,3,2,2,6,5,4]
3,11,13,20,18,4,0,12,9,1,28,8,3,0,2]
7,1,21,1,8,0,0,0,0,1,11,27,37,12,6]
7,11,11,5,10,6,9,8,2,14,5,15,7,11,11]
5,12,10,12,9,1,3,9,9,2,21,8,20,2,10]
29,6,51,6,7,1,1,5,1,3,6,6,3,1,7]
15,10,9,43,8,1,0,26,5,2,10,0,1,2,1]
8,10,32,10,7,0,0,8,2,0,31,10,12,3,1]
8,8,8,29,3,0,4,3,7,1,30,15,9,4,6]
7,11,11,24,10,15,5,4,11,22,6,2,4,2,1]
3,33,15,33,24,1,0,10,5,0,1,1,8,0,2]
33,12,20,12,26,0,2,16,0,0,3,3,7,1,1]
16,14,2,4,3,1,1,5,58,3,6,9,6,5,3]
30,8,3,14,6,8,4,37,0,4,2,5,3,4,9]
17,0,0,1,0,14,20,1,3,3,5,19,4,16,34]
0,1,0,0,0,0,0,0,19,1,89,25,2,0,0]
11,5,33,9,9,0,1,7,1,2,5,18,21,10,6]
8,3,13,10,10,3,0,20,6,8,22,2,18,13,4]
8,8,42,5,9,1,0,8,25,6,5,10,10,0,3]
1,1,2,2,0,61,42,1,0,27,0,0,2,1,0]
7,0,0,0,1,3,30,0,50,1,15,29,1,1,2]
17,0,0,3,0,12,18,1,0,2,0,2,7,73,6]
1,20,10,27,20,1,1,14,12,0,5,6,11,3,12]
11,0,7,0,1,0,8,6,14,3,44,28,10,7,6]
12,15,38,3,13,0,0,18,2,0,8,10,19,4,3]
6,18,57,9,6,0,0,13,3,11,11,6,3,0,3]
8,15,20,4,13,1,0,22,0,0,28,1,12,0,22]
9,20,5,25,12,1,0,17,15,30,1,1,1,7,2]
9,0,66,3,0,0,11,0,0,55,1,1,1,1,0]
7,4,5,4,13,0,0,57,3,0,24,14,5,8,6]
18,1,39,1,0,1,0,3,0,0,20,26,29,4,9]
9,18,0,52,17,5,2,24,6,7,1,3,2,3,2]
0,28,1,25,3,1,4,2,74,3,1,4,2,2,2]
15,42,21,15,12,0,1,3,0,1,25,11,0,0,6]
23,7,9,9,5,10,13,16,5,6,3,11,7,20,9]
8,0,62,10,6,4,10,1,0,29,1,3,0,17,2]
4,9,14,17,5,19,18,13,1,40,2,0,0,10,2]
9,33,19,18,54,0,1,7,7,0,2,0,0,2,2]
2,20,7,27,14,1,1,11,31,4,11,7,13,2,3]
10,5,15,12,8,6,7,13,12,9,14,20,7,7,10]
2,9,6,8,5,1,1,28,28,2,25,11,22,6,2]
1,18,1,32,32,0,1,38,24,4,0,3,0,1,2]
1,3,0,1,3,1,4,0,50,1,63,19,2,3,6]
0,5,1,13,2,0,0,37,13,0,0,1,8,76,2]
5,33,10,60,9,3,2,18,3,2,1,2,1,6,3]
10,17,25,2,7,0,0,59,2,0,14,17,1,2,2]
5,18,20,27,17,0,0,61,0,0,1,4,1,3,2]
5,32,7,32,2,13,4,7,3,38,2,2,2,11,1]
0,0,0,2,0,0,3,0,143,3,0,0,0,0,12]
9,25,8,13,14,34,10,13,2,24,0,3,6,2,1]
5,14,5,12,4,2,3,5,21,74,6,1,0,12,0]
29,1,0,0,0,0,29,0,0,99,0,1,0,4,3]
19,12,32,12,6,0,4,15,3,1,11,23,11,5,13]
5,24,22,28,11,6,2,16,5,9,5,2,15,11,6]
22,1,0,2,0,17,29,0,29,2,23,29,0,11,7]
43,6,21,9,3,0,1,0,11,3,23,28,6,5,14]
10,1,8,17,1,46,21,7,2,59,0,1,1,0,0]
8,15,5,14,8,20,15,17,21,7,5,3,13,16,7]
11,15,37,21,10,7,4,24,2,5,1,12,11,3,11]
8,0,37,1,10,0,0,10,1,2,75,12,14,5,0]
1,4,0,5,2,0,0,163,1,0,0,0,0,0,0]
3,4,40,6,9,5,3,27,15,8,15,3,5,34,1]
4,0,16,0,0,25,18,0,2,44,2,11,22,26,9]
5,17,1,12,70,0,0,59,12,1,1,0,1,1,0]
4,1,138,2,2,11,5,4,1,9,1,0,2,0,1]
0,10,3,34,18,3,5,83,6,4,2,9,3,2,0]
3,14,2,31,39,9,3,27,7,15,5,7,10,4,8]
6,9,6,12,67,8,11,11,4,10,12,4,4,11,12]
16,11,12,19,3,3,1,64,3,2,7,6,15,9,16]
39,4,9,3,3,7,22,2,19,21,0,25,3,21,9]
24,0,0,0,0,0,1,0,1,0,8,120,3,6,26]
14,22,12,14,18,1,4,20,55,5,12,4,4,2,3]
4,2,13,12,15,3,1,3,68,4,6,14,16,5,25]
7,26,19,29,15,11,3,35,3,4,17,3,10,5,5]
26,6,36,4,6,1,1,32,0,3,17,24,10,19,7]
25,5,45,4,6,0,0,5,7,0,40,19,27,5,5]
116,10,12,28,6,1,0,6,4,0,8,1,0,2,0]
3,0,0,0,0,1,118,0,34,1,0,13,0,3,25]
5,4,10,3,3,0,0,0,2,0,160,11,1,0,0]
21,6,7,20,6,23,13,7,19,11,8,6,8,27,18]
45,43,8,41,14,1,0,21,0,5,0,3,0,20,1]
19,3,3,2,8,4,17,28,36,2,47,22,2,6,4]
2,5,13,12,11,3,0,146,0,1,4,3,2,3,0]
1,11,4,14,12,6,1,87,8,6,0,11,29,12,6]
14,6,48,16,17,7,3,8,1,6,8,18,22,19,17]
16,6,36,2,12,0,0,66,2,0,24,15,11,12,9]
20,30,9,56,20,5,0,5,26,1,10,8,10,1,11]
4,15,11,22,21,2,3,70,17,4,16,7,14,5,1]
13,6,13,9,14,10,11,20,19,20,17,24,13,15,11]
4,8,3,8,1,3,3,1,35,140,1,1,2,4,1]
2,1,2,4,0,1,1,208,0,0,0,0,1,0,0]
8,12,13,13,34,4,3,46,3,10,20,7,31,1,15]
