,hyphomicrobium spp.,alkalilimnicola ehrlichii,acanthopleuribacter pedis,tateyamaria spp.,coenonia anatina,flavobacterium gelidilacus,sideroxydans spp.,congregibacter spp.,elizabethkingia meningoseptica,quadrisphaera spp.,cellvibrio spp.,gramella spp.,gaetbulibacter saemankumensis,chelatococcus spp.,maribacter aquivivus,gramella echinicola,paracoccus zeaxanthinifaciens,desulforhopalus singaporensis,roseomonas spp.,veillonella spp.,rhodobaca bogoriensis,sporichthya spp.,microvirga subterranea,labrenzia aggregata,flagellimonas spp.,phyllobacterium myrsinacearum,gaetbulibacter marinus,thiococcus pfennigii,labrenzia spp.,albimonas spp.,winogradskyella thalassocola,bosea spp.,flavobacterium succinicans,desulfobacter spp.,alkaliflexus spp.,endozoicomonas spp.,sulfitobacter delicatus,blastomonas natatoria,psychroflexus spp.,skermanella spp.,leeuwenhoekiella marinoflava,sphaerobacter thermophilus,flavobacterium columnare,rhodovulum euryhalinum,salinimicrobium spp.,porphyrobacter spp.,zhouia amylolytica,aureispira spp.,spirulina spp.,hoeflea alexandrii,rhodomicrobium spp.,pilimelia spp.,thiomicrospira spp.,flavobacterium denitrificans,methylotenera freshwater sediment,salinimonas spp.,desulfuromonas svalbardensis,candidatus_scalindua spp.,blastomonas spp.,schumannella spp.,sediminibacterium spp.,tistrella spp.,muricauda aquimarina,candidatus_amoebophilus spp.,rhodovibrio spp.,dongia spp.,scherffelia dubia,rhodanobacter lindaniclasticus,rhodovulum marinum,sbr1093 (candidate division)  sbr1093 (candidate division),albidiferax spp.,desulfobacterium indolicum,micrococcales spp.,nisaea spp.,porticoccus spp.,loktanella salsilacus,lamprocystis spp.,op11 (candidate division)  op11 (candidate division),acetivibrio spp.,thermolithobacter ferrireducens,bellilinea spp.,aminobacter spp.,simiduia spp.,algoriphagus hongiella hitoincola,sulfitobacter japonica,shewanella colwelliana,microbulbifer hydrolyticus,marinobacter alkaliphilus,filomicrobium fusiforme,azoarcus spp.,bizionia argentinensis,achromobacter spp.,clostridium spp.,gilvibacter spp.,lewinella nigricans,steroidobacter spp.,acidiphilium spp.,fibrobacter succinogenes,catellibacterium spp.,acidobacterium spp.,bacteriovorax marinus,shewanella benthica,hyphomonas jannaschiana,erythrobacter piscidermidis,neptunomonas spp.,marichromatium gracile,rhodopirellula baltica,olleya spp.,psychromonas ingrahamii,oceanicaulis spp.,candidatus_endobugula spp.,syntrophus spp.,candidatus_thiobios endosymbiont of_unidentified_scaly_snail,cyanospira rippkae,bacteriovorax spp.,thalassobius spp.,balneola alkaliphila,salinibacter spp.,coraliomargarita spp.,malonomas spp.,euzebya spp.,limnothrix redekei,roseibacillus spp.,rubrobacter xylanophilus,marinovum spp.,erythrobacter citreus,acinetobacter spp.,lysinibacillus bacillus massiliensis,methylocaldum spp.,lysinibacillus spp.,candidatus_brocadia spp.,lutibacterium anuloederans,shinella spp.,thioclava spp.,op9 (candidate division)  op9 (candidate division),rhodoplanes elegans,thiohalocapsa spp.,glaciecola spp.,gemmatimonas spp.,lewinella marina,robiginitalea myxolifaciens,rubribacterium spp.,microbulbifer spp.,gammaproteobacteria thiobacillus prosperus,iamia spp.,limnohabitans spp.,dokdonia krokinobacter genikus,erythromicrobium ramosum,roseicyclus spp.,marinomonas sanya,tm6 (candidate division)  tm6 (candidate division),gilvimarinus marine metagenome,gn06 (candidate division)  gn06 (candidate division),thiorhodospira spp.,fabibacter spp.,yeosuana yeosuensis,flavobacteriales bacterium,nitrobacter spp.,cellulophaga spp.,thalassococcus spp.,candidatus_entotheonella spp.,calothrix spp.,geopsychrobacter electrodiphilus,pseudoalteromonas marina,nannocystis spp.,desulfurivibrio spp.,thermodesulfovibrio spp.,paracoccus alcaliphilus,ilumatobacter fluminis,spam (candidate division)  spam (candidate division),owenweeksia hongkongensis,coleofasciculus microcoleus chthonoplastes,anaerophaga spp.,ferruginibacter spp.,zeaxanthinibacter enoshimensis,subsaxibacter spp.,oleiphilus spp.,salinisphaera spp.,nocardioides spp.,desulfonema spp.,croceibacter atlanticus,paracoccus spp.,sphingopyxis witflariensis,candidatus_aquiluna spp.,haematobacter massiliensis,massilia spp.,zhouia spp.,jannaschia donghaensis,meridianimaribacter spp.,burkholderia fungorum,tamlana crocina,kordiimonas spp.,sulfitobacter spp.,candidatus_cloacamonas spp.,reinekea blandensis,pelagicoccus spp.,tetracoccus cechii,bdellovibrio spp.,dokdonella spp.,tepidamorphus spp.,opitutus spp.,spirochaeta isovalerica,pseudolabrys spp.,geoalkalibacter spp.,coccinimonas marina,sphingopyxis spp.,desulfovibrio spp.,segetibacter spp.,truepera spp.,altererythrobacter spp.,smithella spp.,rhodoplanes spp.,polynucleobacter spp.,solirubrobacter spp.,caloramator spp.,nodosilinea leptolyngbya rozosum,phaselicystis spp.,parvibaculum spp.,desulfobacula spp.,saccharophagus degradans,flaviramulus spp.,gemmata spp.,prochlorococcus marinus,dasania spp.,dinoroseobacter spp.,ectothiorhodospira shaposhnikovii,thalassospira xiamenensis,sediminitalea flava,lentisphaera spp.,costertonia aggregata,ekhidna spp.,candidatus pelagibacter ubique,fibrobacter spp.,kangiella koreensis,marinosulfonomonas spp.,teredinibacter spp.,brc1 (candidate division)  brc1 (candidate division),arthrobacter spp.,levilinea spp.,mesorhizobium spp.,labrys spp.,nkb19 (candidate division)  nkb19 (candidate division),nitrosomonas spp.,amaricoccus spp.,marinoscillum furvescens,ulvibacter antarcticus,anabaena cylindrica,thermomonas spp.,galbibacter spp.,croceitalea spp.,pelobacter spp.,thiothrix spp.,roseobacter spp.,cerasicoccus spp.,kribbella spp.,muriicola muricola jejuensis,ahrensia spp.,nitriliruptor spp.,ruegeria spp.,leptolyngbya frigida,muricauda spp.,tamlana spp.,dehalococcoides mccartyi,aquimarina brevivitae,melitea spp.,dehalococcoides ethenogenes,ralstonia pickettii,marivita gaetbulicola byunsanensis,pelagicoccus albus,dermatophilus spp.,persicobacter spp.,paracoccus marinus,maribacter sedimenticola,psychroserpens spp.,alterococcus spp.,synechococcus elongatus,salisaeta longa,devosia spp.,desulfosalsimonas spp.,patulibacter spp.,formosa spp.,tm7 (candidate division)  tm7 (candidate division),filomicrobium spp.,thiohalomonas denitrificans,loktanella hongkongensis,geothermobacter spp.,lentimonas spp.,peredibacter spp.,sphingomonas spp.,geobacter spp.,anaerolinea spp.,desulfuromusa spp.,leeuwenhoekiella spp.,coxiella spp.,tg3 (candidate division)  tg3 (candidate division),thioalkalispira spp.,nitrospina spp.,marixanthomonas spp.,pedomicrobium spp.,polaribacter spp.,flavobacterium spp.,rubrobacter spp.,loktanella spp.,tropicimonas spp.,rhizobiales spp.,pelagibius spp.,wenxinia marina,desulfofustis spp.,thalassospira spp.,paludibacter spp.,sediminimonas spp.,rhodovulum spp.,pleurocapsa sp.,gn02 (candidate division)  gn02 (candidate division),maribacter orientalis,salinibacter ruber,beggiatoa spp.,novosphingobium spp.,leisingera spp.,et_sho methylococcaceae bacterium,fluviicola spp.,oceanicola spp.,marinoscillum spp.,acanthopleuribacter spp.,victivallis spp.,op8 (candidate division)  op8 (candidate division),roseicyclus mahoneyensis,aequorivita spp.,thiomicrospira chilensis,sneathiella spp.,anderseniella spp.,nitratireductor spp.,crocinitomix spp.,desulfatirhabdium spp.,halochromatium spp.,simplicispira spp.,candidatus_alysiosphaera spp.,nitrospira marina,maribacter goseongensis,fulvivirga spp.,chroococcidiopsis spp.,formosa crassostrea,maribacter spp.,sediminibacter spp.,kriegella aquimaris,desulforhopalus spp.,desulfobacterium spp.,cystobacterineae spp.,hormoscilla oscillatoria spongeliae,loktanella marincola,hgci_clade spp.,pseudoruegeria spp.,meniscus spp.,cryomorpha spp.,erythrobacter aquimaris,thiobacillus spp.,mariprofundus ferrooxydans,robiginitalea biformata,desulfobacterium anilini,tropicimonas marine metagenome,azospira spp.,op3 (candidate division)  op3 (candidate division),tenacibaculum spp.,aestuariicola spp.,marinifilum spp.,leptospirillum spp.,lutibacter spp.,pirellula spp.,flexithrix spp.,sorangium spp.,rhodobium spp.,lewinella cohaerens,candidatus_microthrix spp.,ulvibacter spp.,roseovarius spp.,zeaxanthinibacter spp.,methylosinus spp.,gaetbulibacter spp.,arcobacter spp.,escherichia_shigella spp.,caldilinea spp.,phycisphaera spp.,haliangium spp.,desulfopila spp.,maritimimonas spp.,actibacter spp.,crenothrix spp.,flexibacter spp.,rhodothermus marinus,parvularcula spp.,kangiella spp.,flexithrix dorotheae,pseudomonas spp.,muricola spp.,planktothricoides raciborskii,pleurocapsa spp.,leptolinea spp.,coprothermobacter spp.,hymenobacter spp.,rhizobium spp.,lewinella spp.,desulfococcus spp.,colwellia spp.,pseudospirillum spp.,nitrospira spp.,rhodobacter spp.,planctomyces spp.,wenxinia spp.,desulfocapsa spp.,acidimicrobiales spp.,gn04 (candidate division)  gn04 (candidate division),sorangiineae spp.,winogradskyella spp.,cycloclasticus spp.,reichenbachiella spp.,candidatus_chloracidobacterium spp.,nitrosococcus spp.,desulfuromonas spp.,mitochondria spp.,blastopirellula spp.,haliea spp.,sulfurovum spp.,robiginitalea spp.,ksb1 (candidate division)  ksb1 (candidate division),leucothrix spp.,ws3 (candidate division)  ws3 (candidate division),eudoraea spp.,longilinea spp.,sulfurimonas spp.,acidovorax spp.,sufflavibacter spp.,desulfobulbus spp.,spirochaeta spp.,ignavibacterium spp.,granulosicoccus spp.,owenweeksia spp.,candidatus_thiobios spp.,acidithiobacillus spp.,defluviicoccus spp.,desulfosarcina spp.,rhodopirellula spp.,balneatrix spp.,nannocystineae spp.
Bb1,7,6,7,14,1,5,3,11,19,0,11,25,1,6,7,17,15,20,9,8,0,5,1,13,0,31,3,3,13,6,9,3,26,23,23,9,5,4,0,6,2,2,1,0,13,17,27,3,0,13,20,3,2,41,18,1,17,1,3,7,7,5,29,15,8,8,7,3,33,16,30,17,0,11,8,8,1,7,17,1,11,12,6,8,9,9,7,18,9,0,15,23,8,4,9,2,10,2,1,1,0,5,10,5,5,0,9,5,29,19,5,22,43,10,8,11,8,1,3,4,5,4,0,3,6,16,39,24,14,4,7,26,25,116,3,5,21,45,19,2,1,14,16,20,4,13,4,2,8,1,7,34,17,27,4,3,1,15,5,17,5,10,2,37,7,29,15,1,8,16,25,1,43,18,1,21,22,0,5,1,49,48,1,10,10,24,31,5,6,16,9,34,18,28,24,7,27,16,79,16,12,92,4,5,24,4,10,0,8,18,12,4,21,15,22,3,17,15,32,14,6,7,6,44,9,12,30,2,6,1,4,13,11,97,32,55,31,20,80,48,12,41,18,12,14,0,4,9,49,71,14,49,31,22,19,24,25,0,13,2,69,42,14,14,30,34,32,57,45,22,22,19,24,23,15,13,7,36,56,4,110,13,65,0,2,23,37,41,18,51,65,45,86,27,51,76,6,0,48,22,50,24,83,136,28,48,6,29,36,191,40,135,13,53,153,7,86,26,31,474,60,15,118,54,65,80,52,223,0,160,46,120,68,92,307,87,18,89,112,34,28,83,294,69,18,103,131,48,4,143,98,175,218,161,26,40,15,16,203,14,57,97,142,22,244,44,141,113,83,83,93,53,59,47,70,65,270,73,827,190,59,109,115,701,236,33,95,123,29,73,77,248,73,4,5,42,303,186,379,178,141,622,128,167,182,285,106,123,599,127,459,180,128,60,362,28,246,440,111,206,1215,127,676,733,484,613,10,950,2163,494,449,920,1161,678,607,765,1039,772,628,1762,781,761,1609
bb2,4,3,12,18,11,1,4,6,0,9,5,0,28,0,3,1,15,3,6,14,15,1,9,14,1,1,7,12,7,1,38,1,1,1,0,7,22,11,1,7,2,15,0,4,4,6,9,9,0,12,2,2,3,0,9,3,7,12,11,1,11,12,6,10,10,8,11,33,12,14,8,0,1,5,3,8,1,0,0,20,0,15,18,15,20,0,4,1,18,28,42,7,0,9,33,20,5,9,18,3,5,33,17,18,32,0,25,14,1,12,24,1,6,1,15,15,0,4,4,0,17,1,10,14,9,11,4,0,22,2,26,6,5,10,0,4,6,43,3,5,11,6,6,30,15,6,8,1,12,0,20,6,0,4,16,1,7,34,95,41,21,5,2,2,24,0,0,19,24,9,31,0,2,12,9,17,21,21,35,1,0,18,6,32,14,0,14,9,4,12,166,10,28,1,157,54,21,6,42,9,21,0,0,4,14,17,30,13,49,10,45,4,11,2,0,11,9,12,0,32,22,51,8,20,9,102,13,27,44,45,55,3,12,55,27,35,25,14,0,14,25,23,54,37,42,5,0,26,31,0,7,43,24,29,22,51,39,21,60,6,32,36,0,111,40,0,11,75,82,22,37,37,10,30,11,8,19,30,0,42,4,51,41,130,44,25,66,34,13,29,21,5,1,43,8,21,21,16,45,74,33,60,35,51,21,64,77,2,73,0,58,33,23,32,56,38,15,50,70,0,39,49,72,134,20,7,213,165,0,56,48,59,51,1,21,52,55,312,149,16,21,110,53,48,306,5,0,90,2,88,27,92,0,88,41,37,0,7,3,96,124,112,134,77,42,123,14,203,90,27,151,191,343,167,271,312,185,122,19,72,241,241,144,4,35,124,113,403,271,316,193,185,82,10,1,210,426,240,8,213,298,5,152,356,330,284,476,391,18,281,22,203,87,373,151,690,294,9,97,767,183,12,31,77,333,304,20,77,48,692,653,57,21,17,853,673,374,405,412,13,2034,358,800
bb3,1,2,20,14,11,1,4,13,1,0,25,47,1,1,51,13,20,43,5,8,1,1,11,21,1,16,1,3,4,49,15,12,9,0,27,8,1,9,2,11,2,0,4,0,15,24,5,3,120,34,25,8,4,64,19,0,0,20,13,21,11,10,51,9,32,8,11,15,20,2,3,0,0,33,13,42,2,0,0,10,7,38,57,20,5,66,5,39,0,1,21,9,62,14,19,7,15,6,1,0,1,10,25,20,7,0,8,5,0,32,22,0,21,8,5,37,37,0,40,16,1,138,3,2,6,12,9,0,12,13,19,36,45,12,0,10,7,8,3,13,4,48,36,9,11,13,3,2,13,0,0,17,3,3,65,112,1,10,20,32,9,19,86,1,15,1,6,2,20,39,31,83,11,61,0,52,17,1,11,1,122,31,1,11,66,2,2,23,63,23,25,46,10,1,15,77,49,5,49,33,66,33,4,10,57,25,7,10,3,56,3,4,21,26,1,45,29,45,8,66,3,6,7,79,10,25,88,8,40,2,69,18,21,57,30,48,24,40,10,64,7,21,11,49,81,1,2,9,74,2,64,25,43,76,7,1,73,12,23,101,201,136,0,62,66,0,28,52,120,16,41,86,385,137,10,325,9,98,9,8,19,10,41,1,3,46,99,53,24,21,39,167,94,36,30,31,3,3,14,45,78,44,91,140,26,101,107,1,190,7,166,64,172,25,433,31,45,23,37,15,86,21,203,167,121,5,19,290,1,203,68,92,138,4,342,58,92,39,202,58,90,172,61,37,32,96,15,81,100,183,133,314,305,499,115,70,246,33,37,3,33,43,228,26,148,110,45,54,185,146,160,105,55,256,191,112,183,116,161,76,82,499,237,1236,81,20,71,277,45,216,284,608,50,8,2994,136,126,96,305,219,292,36,130,325,110,253,163,246,88,235,142,636,97,122,529,22,209,113,259,133,263,35,121,85,544,323,14,182,432,632,1187,146,222,429,415,759,424,231,756,62,529,2693,4014
bb4,6,1,8,19,32,1,0,3,0,5,12,0,16,2,7,0,9,1,10,15,71,15,19,12,26,3,0,13,4,1,15,2,0,0,1,13,29,32,3,6,1,28,0,0,0,5,2,19,0,6,4,3,8,0,13,0,3,25,20,1,5,12,6,43,10,29,24,33,12,4,14,1,0,9,10,5,2,0,3,27,0,3,9,4,25,3,4,1,52,25,15,9,10,17,18,27,12,8,32,1,13,60,2,27,32,2,13,12,0,12,28,2,9,17,14,21,1,5,6,0,12,2,34,31,12,19,3,0,14,12,29,4,4,28,0,3,20,41,2,12,14,16,2,56,22,9,8,4,13,0,27,3,0,1,19,0,12,23,48,62,22,24,4,24,46,5,0,176,43,5,8,1,0,16,3,6,47,74,42,2,1,42,12,69,26,3,1,13,22,19,50,31,69,0,15,27,28,9,26,9,18,0,3,0,13,20,56,2,44,7,94,5,12,15,0,3,13,25,0,28,33,103,6,50,41,76,17,279,116,92,97,10,11,24,75,51,20,34,1,25,37,35,60,104,105,4,2,29,65,2,20,32,43,39,23,140,76,85,37,28,48,12,0,34,82,0,25,59,60,46,19,121,15,51,1,24,25,31,0,53,12,111,82,276,89,28,127,58,40,46,15,8,1,134,2,55,130,61,40,59,50,89,62,112,48,97,235,3,98,1,69,45,57,36,52,68,4,168,171,11,45,177,66,102,23,13,164,55,0,57,152,114,84,1,24,64,104,173,203,11,25,128,219,81,294,18,3,118,6,237,62,82,2,151,118,59,1,9,4,107,122,193,241,68,10,301,47,268,90,41,180,419,509,163,637,514,311,30,27,129,350,279,208,7,37,74,217,733,444,714,429,577,115,50,2,102,401,325,11,226,528,2,289,433,531,414,934,903,49,564,7,209,198,863,144,1162,585,14,444,1249,228,35,69,138,701,567,134,77,89,1100,1263,134,26,9,1134,706,398,532,572,35,3600,3118,2770
bb5,2,6,7,4,17,1,1,2,0,49,4,4,9,0,5,2,4,0,1,8,13,0,11,14,2,1,3,17,14,4,9,0,0,0,1,9,4,11,0,12,8,14,0,11,7,3,11,6,0,5,10,1,4,0,1,116,2,6,18,8,10,9,7,8,7,3,10,24,26,3,6,0,0,9,10,9,0,1,0,20,1,13,6,13,12,0,13,0,17,3,12,5,6,5,54,14,8,5,32,3,2,9,7,17,2,0,14,4,0,6,11,0,3,1,8,10,10,2,9,0,70,2,18,39,67,3,3,0,18,15,15,6,6,6,0,3,6,14,8,11,12,17,12,20,21,14,1,0,34,115,9,10,0,0,19,4,7,37,34,23,14,6,0,3,14,2,0,13,35,11,32,4,0,14,20,67,9,35,46,2,3,25,7,35,42,4,2,19,7,14,33,25,19,0,3,19,25,14,37,9,26,0,0,6,18,44,28,241,50,11,41,3,17,13,1,148,14,15,1,35,4,61,116,8,11,90,52,10,40,101,45,6,14,28,19,26,17,38,0,16,34,30,110,69,33,51,7,14,28,0,7,32,19,31,25,88,38,65,8,98,29,12,0,58,35,0,22,16,38,41,22,31,31,67,25,23,49,19,1,110,2,30,41,137,68,22,21,37,51,56,23,7,1,61,0,28,20,47,77,10,16,67,11,31,33,70,155,0,76,0,69,32,103,36,46,99,2,57,40,2,28,42,79,91,16,9,247,63,1,33,28,36,75,2,25,55,91,252,256,5,36,122,34,27,271,1,1,109,3,68,48,45,0,88,65,64,2,2,6,241,148,116,130,8,7,146,18,446,217,26,163,201,338,363,201,362,299,32,14,87,339,174,149,4,20,41,74,381,393,394,254,234,49,5,1,774,499,258,7,149,322,1,91,294,344,272,666,327,40,385,20,320,78,438,128,748,375,3,158,996,81,5,22,100,702,298,38,83,78,833,635,38,22,12,878,497,1707,545,358,8,3446,450,535
h1,3,2,0,1,1,37,1,24,0,0,0,0,0,0,0,1,1,0,9,1,0,2,0,0,4,0,0,0,0,1,0,1,0,0,2,0,1,4,54,2,0,2,3,0,6,1,1,0,1,2,0,5,0,0,0,1,28,5,4,0,6,1,1,1,0,0,15,1,0,1,8,14,0,0,3,1,61,3,12,1,0,0,0,1,1,0,0,1,5,1,0,10,4,19,0,1,6,1,0,1,0,3,0,0,13,0,34,2,0,0,6,17,0,46,20,7,0,0,5,25,0,11,3,9,8,3,7,0,1,3,11,1,0,1,1,0,23,1,4,3,6,7,0,5,2,10,3,1,4,0,18,0,30,6,13,1,19,1,1,3,5,76,5,5,0,9,4,0,10,6,1,0,3,2,0,0,6,0,1,87,1,9,0,2,0,0,1,3,7,21,0,3,17,49,1,2,18,2,0,2,22,5,0,5,14,1,9,1,0,0,7,1,25,7,4,0,9,4,6,0,37,3,20,11,48,4,1,2,10,3,1,86,27,3,26,0,12,9,74,3,1,2,3,0,1,93,47,4,1,13,6,10,17,2,2,6,16,1,10,3,0,2,4,2,1,2,32,92,2,10,3,10,0,14,13,8,4,5,58,5,42,8,50,1,1,30,48,27,7,44,28,17,2,14,26,20,16,6,4,37,36,3,36,33,3,4,2,252,14,0,16,20,6,35,0,3,22,4,121,77,60,8,22,2,68,34,10,1,1,3,131,11,33,161,72,5,2,1,4,147,329,34,102,20,1,299,95,101,556,85,69,23,5,20,14,71,11,408,51,1,61,85,57,156,48,82,35,98,4,276,11,77,32,20,90,22,30,305,188,67,59,118,229,64,225,991,680,4,21,28,108,11,301,711,3,23,48,70,404,142,119,304,473,50,21,148,42,118,454,157,186,8,634,283,362,17,337,992,2663,469,248,34,570,459,883,458,2176,397,160,115,181,930,577,597,626,413,943,700,49,3451,1181,6073,11497
h2,2,6,8,2,0,16,8,6,0,0,0,0,0,0,0,1,1,1,8,2,1,1,0,0,2,1,21,3,1,1,2,1,4,0,17,0,1,0,21,3,0,1,0,0,1,0,0,1,0,3,1,3,11,1,1,1,10,17,0,0,9,3,1,0,0,4,5,0,2,1,4,20,0,1,0,0,42,30,18,1,8,0,0,0,0,11,0,0,2,4,1,13,10,18,1,1,7,1,1,4,0,2,0,0,4,3,10,3,29,4,2,29,1,21,15,4,0,0,3,18,0,5,5,3,11,1,22,1,4,1,3,1,0,0,118,0,13,0,17,0,1,3,0,0,3,11,3,1,3,0,51,0,54,4,3,2,29,3,0,0,10,23,1,32,3,6,59,0,6,8,0,0,17,3,0,1,6,2,1,35,1,9,0,1,0,1,0,2,5,24,1,2,9,75,0,0,14,6,0,1,4,10,2,8,3,0,31,1,2,0,14,2,19,3,76,1,16,6,9,0,19,1,12,6,24,0,2,1,21,2,1,10,17,2,13,0,12,8,71,3,0,22,4,1,0,40,10,4,0,17,15,10,6,3,4,3,21,1,6,0,4,0,185,4,1,81,32,26,5,13,4,5,1,15,13,6,1,2,99,4,19,13,28,2,2,28,28,28,19,52,137,31,0,11,8,53,24,2,3,13,36,4,26,18,0,2,1,180,5,47,1,39,11,35,2,0,52,43,47,73,32,1,7,13,67,215,5,1,297,3,63,15,30,283,36,100,7,1,1,105,77,20,75,27,0,234,366,116,602,35,63,9,10,15,6,73,32,163,298,2,124,196,18,75,51,41,32,102,4,163,18,40,15,20,43,23,36,184,272,207,73,214,147,56,329,459,408,15,25,8,83,19,158,401,2,11,110,147,258,235,53,789,316,24,25,263,35,52,447,147,706,8,326,146,226,16,166,1173,908,290,152,308,419,634,573,1061,1541,685,565,694,125,1617,1615,540,433,331,671,558,97,2720,867,3142,5756
h3,9,1,10,4,18,1,0,4,0,38,4,0,38,3,20,2,10,0,10,27,4,8,7,5,1,1,1,19,20,0,3,0,2,0,0,11,45,11,0,9,94,36,10,96,5,19,22,30,0,3,8,5,18,0,6,3,2,13,12,0,8,9,5,26,8,3,4,10,16,5,37,1,0,7,20,8,1,0,1,14,6,18,13,22,17,0,57,3,24,2,3,16,1,13,7,11,13,28,38,0,37,18,59,61,7,0,13,5,0,15,16,0,0,7,17,24,10,163,27,0,59,4,83,27,11,64,2,0,20,3,35,32,5,6,0,0,7,21,28,146,87,8,66,5,70,20,1,208,46,0,15,19,0,3,22,2,73,10,10,10,20,16,37,3,15,1,0,30,28,1,11,157,1,23,218,48,51,114,51,5,1,44,257,57,30,10,30,202,14,25,9,42,43,0,8,27,16,68,3,8,11,0,4,1,34,177,16,30,99,70,39,3,29,35,10,117,11,24,0,90,5,73,91,15,40,29,21,8,47,99,67,52,14,48,43,46,25,18,1,37,19,19,52,55,67,6,268,14,129,1,3,18,194,33,7,62,47,221,134,229,14,2,0,170,95,0,34,25,71,49,43,130,3,31,2,71,416,45,1,149,1,154,71,49,416,17,38,126,227,33,30,7,1,86,0,15,153,558,116,19,43,27,123,53,24,66,189,1,108,2,250,16,456,21,12,612,5,35,37,1,70,539,36,66,12,39,215,47,2,21,68,27,89,0,14,39,117,183,214,25,93,125,31,171,307,6,3,107,4,198,68,65,22,47,954,17,1,69,1,1005,134,94,239,82,13,97,9,150,421,27,150,639,530,690,328,369,572,14,77,29,977,175,179,0,10,39,97,179,1110,517,282,373,70,26,7,1719,388,215,10,172,952,5,82,450,257,141,608,1084,32,348,7,259,465,587,364,2143,301,9,101,735,104,8,22,24,676,224,45,96,76,961,1324,36,10,13,570,506,978,669,393,11,1670,629,779
h4,10,21,0,0,1,0,17,0,0,2,2,0,4,19,3,0,5,0,9,2,1,0,8,0,0,11,61,0,22,0,0,16,0,0,10,13,0,4,2,21,2,3,6,4,0,11,1,0,0,14,14,10,34,0,1,0,15,9,9,0,2,9,1,5,2,7,11,5,0,58,0,3,19,1,6,25,0,50,0,12,14,2,3,0,15,0,3,0,6,74,0,5,0,1,7,31,12,28,24,50,13,3,2,0,3,143,2,21,0,3,5,29,11,2,21,2,1,1,15,2,12,1,6,7,4,3,19,1,55,68,3,0,7,4,34,2,19,0,36,0,8,1,2,26,17,19,35,0,3,103,36,8,4,21,0,8,6,26,1,0,40,15,2,75,17,32,29,0,4,7,0,6,0,17,1,2,7,13,4,34,0,9,1,10,5,123,6,8,0,21,0,17,25,0,37,10,2,101,1,40,37,0,33,189,5,2,5,17,7,9,20,57,23,11,150,4,41,13,0,9,0,12,7,6,5,2,8,2,1,3,7,24,1,7,7,2,60,34,6,9,60,71,6,3,8,0,6,37,0,0,71,42,5,16,180,4,24,10,7,2,16,1,181,1,9,199,45,5,14,127,34,7,0,3,249,28,7,34,34,33,0,10,15,26,7,36,32,23,168,70,80,12,1,92,8,185,187,14,192,44,33,343,8,14,203,82,13,5,57,9,20,166,12,54,14,6,51,192,10,12,22,13,12,39,14,133,14,1,719,86,53,161,14,43,20,246,29,23,20,82,25,6,4,76,13,1,83,80,1,21,75,57,15,22,17,172,31,7,232,29,223,179,38,0,1,275,4,103,30,53,378,35,120,25,48,84,129,27,48,673,176,208,172,11,51,6,29,147,145,282,289,73,414,7,2,33,315,797,8,449,61,221,256,218,762,384,208,53,151,308,579,376,24,264,210,88,866,298,56,135,48,43,136,739,568,1208,8,902,842,1125,96,1089,818,930,1041,192,755,2156,1720,111,1060,193,388
h5,4,9,0,3,2,25,0,20,4,0,0,1,0,0,0,0,1,0,5,0,0,2,1,0,71,1,5,2,0,4,7,1,32,15,3,1,5,3,32,5,0,3,0,2,1,0,0,1,0,7,0,3,0,0,1,1,8,3,1,1,14,2,3,2,0,1,22,0,0,3,4,3,1,2,8,6,27,1,2,0,3,0,11,0,30,55,0,0,7,3,1,6,29,40,0,4,9,2,4,1,0,2,0,0,38,3,24,74,99,1,9,2,3,59,7,5,2,0,8,44,1,9,4,15,10,2,21,0,5,4,4,3,0,0,1,0,11,5,2,1,6,6,0,1,4,20,140,0,10,2,13,0,13,12,37,6,69,1,11,0,6,41,10,55,2,32,2,1,9,0,2,1,10,3,4,2,19,0,5,85,1,25,2,9,0,6,0,4,33,14,3,3,40,9,2,2,48,8,0,3,17,11,2,13,44,0,20,2,4,2,8,5,18,3,20,0,12,1,27,1,71,5,50,14,128,5,0,13,2,3,0,69,9,4,39,0,5,13,15,8,2,5,0,1,0,196,73,2,4,12,14,9,24,3,1,67,21,3,11,4,1,1,1,14,4,6,44,32,0,3,5,15,2,77,47,7,4,5,32,6,21,26,54,3,2,45,21,35,20,37,12,12,2,24,28,17,19,10,13,322,101,4,58,44,10,3,2,312,8,4,5,10,2,64,7,6,66,10,179,47,72,27,60,6,34,11,11,1,7,2,207,13,81,28,106,3,1,3,18,499,443,246,325,39,5,229,54,42,111,143,82,33,11,115,10,114,140,726,22,6,59,63,86,222,81,153,109,100,5,448,7,114,68,29,219,40,90,1354,271,40,68,24,174,56,712,708,547,15,30,23,156,33,835,1766,3,69,97,58,1369,221,220,102,836,59,48,159,59,166,613,239,117,15,2376,726,523,31,551,669,884,521,348,44,441,234,913,533,4118,194,137,117,474,1169,424,210,577,617,1049,1042,75,3431,1326,4947,11484
